15일 원/달러 환율이 13년2개월여 만에 장중 1,320원을 돌파했다.	DATE-B DATE-I DATE-I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O OCCURRENCE-B OCCURRENCE-I OCCURRENCE-I O O
서울 외환시장에서 달러 대비 원화 환율은 이날 오전 9시 7분께 달러당 1.320.2원까지 올랐다. 전날 종가보다 8.1원 뛴 수준이다.	O O O O O O O O O O O O O O O O O O O O O O O DATE-B DATE-I DATE-I DATE-I DATE-I DATE-I DATE-I DATE-I DATE-I DATE-I DATE-I O O O O O O O O O O O O O O O O O OCCURRENCE-B OCCURRENCE-I O O O O O O O O O O O O O O O O OCCURRENCE-B O O O OCCURRENCE-B O O
환율이 장중 1,320원을 넘어선 것은 2009년 4월 30일(고가 기준 1,325.0원) 이후 13년 2개월여 만에 처음이다.	O O O O O O O O O O O O O O O OCCURRENCE-B OCCURRENCE-I OCCURRENCE-I O O O O DATE-B DATE-I DATE-I DATE-I DATE-I DATE-I DATE-I DATE-I DATE-I DATE-I DATE-I DATE-I O O O O O O O O O O O O O O O O O O O O DATE-B DATE-I DATE-I DATE-I DATE-I DATE-I DATE-I DATE-I DATE-I DATE-I O O O O OCCURRENCE-B O O
개장과 동시에 연고점을 뛰어넘은 환율은 상승세를 지속하고 있다.	TIME-B TIME-I O O O O O O O O O O O OCCURRENCE-B OCCURRENCE-I OCCURRENCE-I O O O O O O O O O O O OCCURRENCE-B OCCURRENCE-I OCCURRENCE-I O O OCCURRENCE-B O O
환율은 전장보다 5.9원 오른 1,318.0원에 개장하자마자 약 7분 만에 1,320원대로 뛰어올랐다. 이후 1,320원을 밑도는가 했지만, 다시 우상향으로 방향을 잡고 1,322.4원까지 올랐다.	O O O O DATE-B DATE-I O O O O O O O O OCCURRENCE-B OCCURRENCE-I O O O O O O O O O O O OCCURRENCE-B OCCURRENCE-I OCCURRENCE-I O O O O O O TIME-B TIME-I TIME-I TIME-I TIME-I O O O O O O O O O O OCCURRENCE-B OCCURRENCE-I OCCURRENCE-I OCCURRENCE-I O O O O O O O O O O O O O O OCCURRENCE-B OCCURRENCE-I O O O OCCURRENCE-B O O O O O O O O O O O O O O O O O OCCURRENCE-B O O O O O O O O O O O O O OCCURRENCE-B OCCURRENCE-I O O
지난 12일 기록한 연고점(고가 기준 1,316.4원)을 3거래일 만에 갈아치웠다.	DATE-B DATE-I DATE-I DATE-I DATE-I DATE-I O OCCURRENCE-B OCCURRENCE-I OCCURRENCE-I O O O O O O O O O O O O O O O O O O O O O O DATE-B DATE-I DATE-I DATE-I DATE-I DATE-I DATE-I O OCCURRENCE-B OCCURRENCE-I OCCURRENCE-I OCCURRENCE-I O O
오전 9시 21분 현재 원/달러 환율은 전날 종가보다 9.5원 오른 달러당 1,321.6원이다.	DATE-B DATE-I DATE-I DATE-I DATE-I DATE-I DATE-I DATE-I DATE-I DATE-I DATE-I DATE-I O O O O O O O O O O DATE-B DATE-I O O O O O O O O O O O OCCURRENCE-B OCCURRENCE-I O O O O O O O O O O O O O O O O
미국 중앙은행인 연방준비제도(Fed·연준)가 인플레이션(물가 상승)을 잡기 위해 기준금리 인상을 가속할 가능성이 커지며 달러 선호 심리가 더 강해졌다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O OCCURRENCE-B O O O O O O O O O O O O O O OCCURRENCE-B OCCURRENCE-I OCCURRENCE-I O O O O O O OCCURRENCE-B OCCURRENCE-I O O O O O O O O O O O O O O OCCURRENCE-B OCCURRENCE-I OCCURRENCE-I O O
미국에서 지난달 소비자물가지수(CPI)가 1년 전보다 9.1% 상승한 것으로 발표된 데 이어 간밤에는 6월 생산자물가지수(PPI)가 1년 전보다 11.3% 올라 석 달 만에 가장 높은 수준으로 집계됐다.	O O O O O DATE-B DATE-I DATE-I O O O O O O O O O O O O O O O DATE-B DATE-I DATE-I DATE-I DATE-I DATE-I O O O O O O OCCURRENCE-B OCCURRENCE-I OCCURRENCE-I O O O O O OCCURRENCE-B OCCURRENCE-I OCCURRENCE-I O O O O O O DATE-B DATE-I DATE-I DATE-I O DATE-B DATE-I O O O O O O O O O O O O O O O DATE-B DATE-I DATE-I DATE-I DATE-I DATE-I O O O O O O O OCCURRENCE-B OCCURRENCE-I O DATE-B DATE-I DATE-I DATE-I DATE-I DATE-I O O O O O O O O O O O O OCCURRENCE-B OCCURRENCE-I OCCURRENCE-I O O
미국의 도매 물가마저 11%대 상승률을 보이자 시장은 연준이 고강도 긴축을 이어갈 것으로 보고 있다.	O O O O O O O O O O O O O O O O O O O O O O OCCURRENCE-B OCCURRENCE-I O O O O O O O O O O O O O O O O O O OCCURRENCE-B OCCURRENCE-I OCCURRENCE-I O O O O O OCCURRENCE-B O O OCCURRENCE-B O O
다만 전날 급부상했던 연준의 기준금리 '1.00%포인트 인상' 가능성은 수그러든 모양새다. 연준 고위 인사들이 이달 연방공개시장위원회(FOMC) 정례회의에선 0.75%포인트 인상이 바람직하다는 발언을 잇따라 내놓은 결과로 보인다.	O O O SET-B SET-I O OCCURRENCE-B OCCURRENCE-I OCCURRENCE-I OCCURRENCE-I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O OCCURRENCE-B OCCURRENCE-I OCCURRENCE-I OCCURRENCE-I O O O O O O O O O O O O O O O O O O DATE-B DATE-I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O OCCURRENCE-B OCCURRENCE-I O O O O O O OCCURRENCE-B OCCURRENCE-I O O
미국의 긴축 가속화뿐만 아니라 유로화, 엔화, 위안화 등 다른 주요 통화의 가치가 지속해서 하락하는 점도 달러 강세를 유발해 원/달러 환율을 밀어 올리고 있다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
같은 시간 원/엔 재정환율은 100엔당 950.97원이다. 전날 오후 3시 30분 기준가(946.92원)에서 4.05원 올랐다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
