코인지갑에 들어온 출처 불명 비트코인을 사용해도 배임이나 횡령죄를 물을 수 없다는 법원 판결이 나왔다.	O O O O O O EVENT-B EVENT-I EVENT-I O O O O O O O O O O O O O EVENT-B EVENT-I EVENT-I O O O O O O O O O O O O O O O O O EVENT-B O O O O O O O O O O EVENT-B EVENT-I O O
대전지법 형사항소3부(문보경 부장판사)는 20대 A씨에게 배임 혐의로 징역 6월을 선고한 원심을 파기하고 무죄를 선고했다고 14일 밝혔다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O DURATION-B DURATION-I O O EVENT-B EVENT-I EVENT-I O O O O O EVENT-B EVENT-I EVENT-I O O O O O O EVENT-B EVENT-I EVENT-I O O O O O O O EVENT-B EVENT-I O O
A씨는 2019년 8월 알 수 없는 이유로 자신의 가상화폐 전자지갑에 들어온 비트코인(당시 시가 8070만원 상당)을 다른 비트코인을 구매하는 데 사용한 혐의로 재판에 넘겨졌다.	O O O O DATE-B DATE-I DATE-I DATE-I DATE-I DATE-I DATE-I DATE-I O O O O O EVENT-B O O O O O O O O O O O O O O O O O O O O O EVENT-B EVENT-I EVENT-I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O EVENT-B EVENT-I EVENT-I O O O O EVENT-B EVENT-I EVENT-I O O O O O O O O O EVENT-B EVENT-I EVENT-I O O
1심 재판부는 A씨가 착오송금된 해당 코인을 원래 주인에게 그대로 돌려주기 위해 그대로 보관해야 할 의무가 있다고 보고, 배임 혐의를 유죄로 인정했다.	O O O O O O O O O O O O O O O O EVENT-B O O O O O O O O O O O O O O O O O O O O EVENT-B EVENT-I EVENT-I O O O O O O O O O EVENT-B EVENT-I EVENT-I O O O O O O O O EVENT-B O O O EVENT-B O O O O O O O O O O O O O O EVENT-B EVENT-I EVENT-I O O
그러나 항소심 재판부는 A씨가 배임죄가 규정한 '타인의 사무를 처리하는 자'에 해당하지 않는다고 봤다.	O O O O O O O O O O O O O O O O O O O O O O EVENT-B EVENT-I EVENT-I O O O O O O O O O O EVENT-B EVENT-I EVENT-I O O O O O O EVENT-B EVENT-I EVENT-I O O EVENT-B O O O O EVENT-B O O
현행법상 가상자산을 이체받은 자가 가상자산을 사용·처분한 경우 이를 형사처벌 하는 명문 규정이 없다는 이유에서다.	O O O O O O O O O O O EVENT-B EVENT-I EVENT-I O O O O O O O O O O O EVENT-B EVENT-I EVENT-I EVENT-I EVENT-I EVENT-I O O O O O O O O O O O O EVENT-B O O O O O O O O O EVENT-B O O O O O O O O O
재판부는 비트코인을 횡령죄가 규정하는 '재물'로 볼 수 없다며 검찰이 함께 기소한 횡령 혐의도 무죄로 판단했다.	O O O O O O O O O O O O O O O O EVENT-B EVENT-I EVENT-I O O O O O O O O O O O O EVENT-B O O O O O O O O O O EVENT-B EVENT-I EVENT-I O O O O O O O O O O O O EVENT-B EVENT-I EVENT-I O O
재판부는 "비트코인은 물리적 실체가 없고 사무적으로 관리되는 디지털 전자정보에 불과해 현행 형법에 규정한 재물에 포함되지 않는다"며 "피고인이 이를 임의로 소비하거나 그 반환을 거부해도 피고인에게 횡령죄의 죄책을 물을 수 없다"고 판시했다.	O O O O O O O O O O O O O O O O O O O O EVENT-B O O O O O O O O EVENT-B EVENT-I EVENT-I O O O O O O O O O O O O EVENT-B EVENT-I EVENT-I O O O O O O O O EVENT-B EVENT-I EVENT-I O O O O O EVENT-B EVENT-I EVENT-I O O O EVENT-B O O O O O O O O O O O O O O O O O EVENT-B EVENT-I EVENT-I O O O O O O O O O EVENT-B EVENT-I EVENT-I O O O O O O O O O O O O O O O O O O O O O O EVENT-B O O O O EVENT-B EVENT-I EVENT-I O O
앞서 지난달 19일에는 자신의 계정으로 잘못 송금된 15억원 어치의 비트코인을 자신의 또다른 계정으로 무단 이체해 1·2심에서 유죄를 선고받았던 30대 남성이 파기환송심에서 무죄를 선고받기도 했다.	O O O DATE-B DATE-I DATE-I DATE-I DATE-I DATE-I DATE-I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O EVENT-B EVENT-I EVENT-I O O O O O O O O O O O O EVENT-B EVENT-I EVENT-I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O EVENT-B O O
대법원 전원합의체는 2021년 12월16일 1·2심 유죄판결을 뒤집고 무죄판결 취지로 사건을 수원고법으로 돌려보냈다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
대법 재판부는 "B씨가 부당이득을 반환해야 하는 의무를 지는 것은 민사상 채무에 지나지 않는다"며 "설령 B씨가 피해자에게 직접 부당이득반환의무를 부담한다고 하더라도 곧바로 가상자산을 이체 받은 사람을 피해자에 대한 관계에서 배임죄의 주체인 '타인의 사무를 처리하는 자'에 해당한다고 단정할 수는 없다"고 언급했다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
이어 "가상자산에 대해서는 현재까지 관련 법률에 따라 법정화폐에 준하는 규제가 이루어지지 않는 등 법정화폐와 동일하게 취급되고 있지 않고 그 거래에 위험이 수반되므로 형법을 적용하면서 법정화폐와 동일하게 보호해야 하는 것은 아니다"고 밝혔다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
이와 관련 금융권 관계자는 "요즘 가상자산 시장에서 착오송금 민원이 속출하고 있으나 구제 장치는 미흡한 상황"이라면서 "일부 가상자산 거래소가 착오송금 관련 복구작업을 지원하고는 있지만 배상책임은 없다"고 지적했다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
