유사 공정 12개 제품 중 '더진한초코우유' 부적합 판정	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
'회수계획 미보고'로 GS리테일·동원F&B 행정처분	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
편의점 GS25의 자체브랜드(PB) 상품인 '더진한초코우유'(스누피우유)에서 기준치를 초과한 세균과 대장균이 검출됐다고 식품의약품안전처가 14일 밝혔다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O REPORTING-B REPORTING-I REPORTING-I O O O O O O O O O O OCCURRENCE-B OCCURRENCE-I OCCURRENCE-I O O O O O O O O O O O O O DATE-B DATE-I DATE-I O REPORTING-B REPORTING-I O O
식약처는 GS25 PB상품 우유가 변질됐다는 소비자 불만이 제기됨에 따라 제조공장 소재지인 전라북도와 함께 판매업자인 GS25의 운영사 GS리테일, 제조업자인 동원F&B를 대상으로 현장 조사와 제품 수거 검사를 했다.	O O O O O O O O O O O O O O O O O O O O O OCCURRENCE-B O O O O O O O O O O O O O OCCURRENCE-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O OCCURRENCE-B O O
소비자 불만이 제기된 제품은 더진한바나나우유(바나나우유), 더진한초코우유(초코우유), 더진한딸기우유(딸기우유) 등 3개 제품이었는데, 식약처는 이들 3개 제품과 유사한 공정으로 생산된 9개 제품을 더해 모두 12개 제품에 대한 미생물 기준·규격을 검사했다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O OCCURRENCE-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O OCCURRENCE-B O O
검사 결과 12개 제품 중 초코우유(유통기한 2022년 7월13일)에서 세균수와 대장균군이 기준치를 초과한 것을 확인하고 이 제품을 모두 압류, 폐기했으며 제조업자와 판매업자에 대해 '품목제조 정지 15일'과 '해당제품폐기'의 행정처분을 내리기로 했다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O OCCURRENCE-B O O O O O O OCCURRENCE-B O O O O O O O O O O O O O O O O O OCCURRENCE-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O OCCURRENCE-B O O
다만 이 제품은 유통되거나 판매되지 않아 회수 대상은 없었다. 품목제조 정지 처분에 따라 검사 대상 제품 중 초코우유에 대해서만 제조가 정지된다.	O O O O O O O O O O O OCCURRENCE-B O O O O O OCCURRENCE-B O O OCCURRENCE-B O O O O O O O O O OCCURRENCE-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O OCCURRENCE-B O O
GS리테일은 앞서 지난 1일 바나나우유의 맛이 이상하다는 신고가 들어와 판매를 중지했고, 4일에는 딸기우유, 커피우유, 초코우유의 판매를 중지하고 재고 2만5천개를 폐기했다.	O O O O O O O O O O DATE-B DATE-I DATE-I DATE-I DATE-I O O O O O O O O O O O O O OCCURRENCE-B O O O O O O O O O O O O O O O O O OCCURRENCE-B O O O DATE-B DATE-I O O O O O O O O O O O O O O O O O O O O O O O O O O O OCCURRENCE-B O O O O O O O O O O O O O O OCCURRENCE-B O O
GS리테일은 5일 홈페이지에 안내문을 올려 "품질에 대한 고객 클레임이 발생해 즉시 판매 금지 및 발주 중단 조치를 했고, 자발적으로 회수하기로 했다"고 밝혔었다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
식약처는 이번 조사에서 GS리테일과 동원F&B가 제품에 문제가 있음을 알고도 관할 지자체에 회수 계획을 보고하지 않은 채 제품을 자체 회수한 사실을 적발해 판매업자와 제조업자 각각에 경고와 과태료 500만원씩의 행정처분을 내렸다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
판매업자와 제조업자는 식품이 부패·변질됐을 우려가 있을 경우에는 관할 지자체에 회수계획을 보고할 의무가 있다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
식약처 관계자는 "판매·제조업자가 이미 제품을 폐기했고, 유통기한이 지난 제품의 경우 검사 대상에서 빠졌다"며 "수거 검사는 폐기되지 않고 남은 제품 중 유통기한을 넘기지 않은 제품을 대상으로 실시했다"고 설명했다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
