지난해 '폰지 사기' 의혹을 자아낸 머지포인트 대규모 환불중단 사건과 관련, 거래를 중개했던 이커머스 업체들이 일부 책임을 지고 손해배상을 해야 한다는 당국의 판단이 나왔다.	O O O O O O O O O O O O O O O O EVENT-B EVENT-I EVENT-I O O O O O O O O O O O O O O O O O O O O O O O O O O O O EVENT-B EVENT-I EVENT-I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O EVENT-B EVENT-I O O
14일 한국소비자원은 소비자 5467명이 판매업자와 통신판매중개업자 등을 상대로 낸 집단분쟁조정 신청 사건에서 통신판매중개업자의 책임을 일부 인정한다고 밝혔다. 판매 당사자인 머지플러스뿐만 아니라, 이를 중개한 이커머스 업체들도 배상책임이 있다는 것이다.	DATE-B DATE-I DATE-I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O EVENT-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O EVENT-B EVENT-I EVENT-I O O O EVENT-B EVENT-I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O EVENT-B O O O O O O O
한국소비자원 소비자분쟁조정위원회는 우선 머지플러스의 계약상 할인서비스 제공 의무 불이행과 약관 위반에 대한 손해배상 책임을 인정했다. 이에 대해 권남희 머지포인트 대표이사와 그의 동생 권보군 최고전략책임자(CSO)가 연대 책임을 지도록 했다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O EVENT-B EVENT-I EVENT-I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O EVENT-B O O
사실상 폐업 중인 머지포인트와 권 대표 등이 책임져야 할 손해배상 총액은 약 22억원이다. 이는 집단분쟁조정 신청인의 잔여 포인트 등을 기준으로 산정한 것이다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
소비자분쟁조정위는 또 ▲카카오 ▲스마트콘 ▲즐거운 ▲쿠프마케팅 ▲한국페이즈서비스 ▲스타일씨코퍼레이션 등 통신판매업자도 전자상품권을 발행했거나, 머지포인트의 제휴 업체를 지원해준 점 등이 인정돼 책임 한도를 60%로 정했다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
또 머지포인트를 대형 플랫폼 사업자로 소비자에게 오인시킬 수 있는 표시·광고를 한 통신판매중개업자에 대해서도 책임 한도를 30% 책정했다. ▲롯데쇼핑 ▲인터파크 ▲위메프 ▲티몬 ▲지마켓 글로벌 ▲11번가 등이 여기에 해당한다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
오프라인 판매업자 ▲GS리테일 ▲BGF리테일의 책임한도는 20%로 정해졌다. 소비자분쟁조정위는 고의가 아닌 과실에 의한 소비자 손해 발생임을 고려해 책임 범위에 일정한 감액률을 적용했다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
이번 조정안 자체로는 머지포인트 사건으로 피해를 본 소비자들이 각각 얼마를 배상받게 되는지 알 수 없다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
개별 소비자가 배상받을 금액은 조정안을 수락한 당사자들이 책임 비율과 소비자의 미사용 포인트 등을 고려해 추후 산정할 전망이다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
머지포인트는 대형마트와 편의점, 커피전문점 등 200여개 브랜드와 제휴를 맺고 서비스 가입자에게 최대 20% 할인을 제공한 모바일 플랫폼 업체다. 멤버십에 가입한 소비자가 월 1만5000원의 구독료를 내면 가맹점이 할인 혜택을 무제한으로 제공하는 식이었다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
파격적인 서비스가 입소문을 타면서 출시 1년여 만에 누적 가입자 수가 100만명을 돌파했지만, 지난해 8월 금융당국이 위법성 여부를 검토하면서 환불 사태가 빚어졌다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
금융당국이 서비스 형태로 볼 때 머지포인트가 선불전자지급 수단에 해당한다고 판단해 위법성(전자금융업 미등록 영업) 검토에 들어간 것이다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
이에 머지포인트는 "당국 가이드를 수용해 2021년 8월 11일부로 적법한 서비스 형태인 '음식점업' 분류만 일원화해 당분간 축소 운영한다"고 기습 공지했고, 다음날인 8월 12일부터 환불 요구가 빗발쳤다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
서울 영등포구에 위치한 머지플러스 본사에는 환불을 요구하는 소비자 수백명이 몰려들었고, 금융감독원의 의뢰를 받은 경찰이 곧 수사에 착수했다. 권남희 대표와 권보군 CSO는 지난해 12월 경찰에 구속됐고, 올해 6월 사기 혐의로 추가 기소돼 구속 기간이 연장됐다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
수사당국에 따르면 이들은 지난 2018년 6월부터 작년 8월까지 2521억원 상당 '머지머니'를 돌려막는 방식으로 사업을 운영했다. 금융권에서는 이 사건을 다단계 금융사기인 '폰지 사기(Ponzi Scheme)'의 일환으로 보고 있다.	O O O O O O O O O O O O O O O O O DATE-B DATE-I DATE-I DATE-I DATE-I DATE-I DATE-I DATE-I DATE-I DATE-I DATE-I DATE-I DATE-I DATE-I DATE-I DATE-I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O EVENT-B EVENT-I EVENT-I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O EVENT-B EVENT-I EVENT-I EVENT-I O O
