혼자 사는 중고령자가 가족과 같이 사는 중고령자보다 삶의 만족도가 낮은 것으로 나타났다.	O O O OCCURRENCE-B O O O O O O O O O O O O O O O OCCURRENCE-B O O O O O O O O O O O O O O O O O OCCURRENCE-B O O O O O O OCCURRENCE-B OCCURRENCE-I OCCURRENCE-I O O
15일 한국보건사회연구원에 따르면, 홍성표 가톨릭대 조교수와 임한려 서울대 연구교수는 학술지 '보건사회연구' 최근호에 게재한 '중고령자 1인가구 삶의 만족도 변화 및 영향요인 분석'에서 이러한 결과를 내놓았다.	DATE-B DATE-I DATE-I O O O O O O O O O O O O OCCURRENCE-B OCCURRENCE-I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O OCCURRENCE-B OCCURRENCE-I OCCURRENCE-I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O OCCURRENCE-B OCCURRENCE-I OCCURRENCE-I O O
연구진은 만 40세 이상 중고령자 중 1인가구 표본 1천378명과 2인 이상 다인가구 표본 6천382명을 대상으로 2017년부터 2020년까지 삶의 만족도 변화를 살펴봤다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O DURATION-B DURATION-I DURATION-I DURATION-I DURATION-I DURATION-I DURATION-I DURATION-I DURATION-I DURATION-I DURATION-I DURATION-I DURATION-I DURATION-I DURATION-I O O O O O O O O O O O O OCCURRENCE-B OCCURRENCE-I OCCURRENCE-I O O
중고령자 1인가구의 삶의 만족도 지수는 2017년 3.42→2018년 3.44→2019년 3.43→2020년 3.36으로 하락 추세를 보였다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O OCCURRENCE-B OCCURRENCE-I O O
같은 기간 다인가구 중고령자의 삶의 만족도는 3.61→3.60→3.60→3.56으로 1인가구보다는 높았지만 역시 하락 추세가 나타났다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O OCCURRENCE-B OCCURRENCE-I O O O O O O O O O O O O O O O O O O
이에 대해 연구진은 "연령이 높아지면서 배우자와 사별, 사회적 활동 감소, 건강 악화, 노인빈곤율 증가 등 상황에 놓이는 중고령층의 특성이 반영된 것으로 보인다"고 분석했다.	O O O O O O O O O O O O O O O O OCCURRENCE-B OCCURRENCE-I OCCURRENCE-I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O OCCURRENCE-B OCCURRENCE-I O O O O O O O O O O O O O O O O O O O O OCCURRENCE-B OCCURRENCE-I O O O O O O O O O
특히 1인가구는 가족과 관계적 네트워크가 취약해 가족과 함께 살며 다양한 교류를 하는 다인가구보다 삶의 만족도가 상당히 낮은 것으로 볼 수 있다고 덧붙였다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
중고령자의 삶의 만족도에 영향을 미치는 요인은 성별, 소득, 중장년(40∼64세) 여부, 자아존중감, 우울감이 있다. 이 요인들은 1인가구, 다인가구 모두에게 영향을 미쳤다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
이 가운데 소득은 높을수록 초기 삶의 만족도가 높아졌지만, 시간 흐름에 따른 변화에는 유의미한 영향을 미치지 못한 것으로 나타났다. 중고령자 1인가구의 평균 소득은 1천368만원이다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
성별에서는 1인가구에서 여성의 비율(79.1%)이 남성(20.9%)보다 훨씬 높았지만, 삶의 만족도 수준은 여성보다 남성이 더 낮은 것으로 나타났다. 다인가구도 남성이 여성보다 삶의 만족도 수준이 낮았다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
자아존중감은 1인가구, 다인가구 중고령자 모두의 삶의 만족도에 큰 영향을 미쳤다. 자아존중감은 초기 삶의 만족도는 물론 시간에 따른 변화에도 강한 영향력을 행사했다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
