서울의 아파트 매매수급지수가 10주 연속 하락하는 등 매수심리가 꽁꽁 얼어붙고 있다 .	O O O DURATION-B O EVENT-B O O O EVENT-B O O
다주택자에 대한 양도소득세 중과 한시 배제 조치로 매물은 늘어나는데 '빅 스텝'(기준금리 0.5%포인트 인상) 등 연이은 금리 인상으로 집값이 더 떨어질 것이라는 우려가 커지면서 매수심리가 계속 위축되는 모습이다 .	O O O O O O O O EVENT-B O O O O O O O O O O EVENT-B EVENT-B O EVENT-B O O EVENT-B EVENT-B O
15일 한국부동산원에 따르면 이번주 서울 아파트 매매수급지수는 86.4로 지난주(86.8)보다 0.4포인트(p) 하락했다 .	DATE-B O EVENT-B DATE-B O O O O DATE-B O EVENT-B O
매매수급지수는 부동산원이 회원 중개업소 설문과 인터넷 매물 건수 등을 분석해 수요(매수)와 공급(매도) 비중을 지수화한 것으로, 이 지수가 기준선(100)보다 낮으면 낮을수록 시장에 집을 사려는 사람보다 팔려는 사람이 많다는 것을 의미한다 .	O O O O O O O O O EVENT-B O O O EVENT-B O O O O EVENT-B EVENT-B O O EVENT-B O EVENT-B O EVENT-B O O O
서울 아파트 매매수급지수는 지난 5월 다주택자 양도소득세 중과 한시 배제 조치 시행 이후 꺾이기 시작해 10주 연속 하락 중이다 .	O O O DATE-B DATE-I O O O O O O O O EVENT-B EVENT-B DURATION-B O O EVENT-B O
다주택자의 절세 매물이 증가한 가운데 계속되는 금리 인상과 집값 하락에 대한 우려 등으로 매수세가 크게 위축된 영향이다 .	O O O O O O O O O O O O O O O O O O
한국부동산원이 조사한 이번주 서울 아파트값은 0.04% 하락해 7주 연속 하락했고, 낙폭도 지난주(-0.03%)보다 커졌다 .	O EVENT-B DATE-B O O O EVENT-B DATE-B DATE-I EVENT-B O DATE-B O O
서울 5대 권역의 수급지수가 일제히 하락했다 .	O O O O O EVENT-B O
용산·종로구가 있는 도심권은 84.7로 지난주(85.7)보다 1.0p 떨어져 하락 폭이 가장 컸다. 용산구는 이번주 아파트값이 0.01% 내리며 4개월 만에 상승·보합세를 마감하고 하락으로 전환됐다 .	O O O O O O O O O O O O O O O O O O O O O O O
'노도강'(노원·도봉·강북구) 지역이 있는 동북권은 81.4로 지난주(82.1)보다 0.7p 떨어졌고, 강남4구가 포함된 동남권 역시 지난주보다 0.7p 하락한 91.9를 기록했다 .	O O O O O O O O O O O O O O O O O O
마포·은평·서대문구 등이 속한 서북권은 지난주보다 0.2p 하락한 79.3으로 서울 5대 권역 중 매매수급지수가 가장 낮았다 .	O O O O O O O O O O O O O O O O
양천·영등포구 등이 포함된 서남권은 지난주(90.5)보다 0.2p 오른 90.7로 5대 권역 중 유일하게 상승했으나 여전히 기준선을 크게 밑돌았다 .	O O EVENT-B O DATE-B O EVENT-B O O O O O O O O O O O
경기(90.8→90.5)와 인천(91.8→91.6)도 지수가 90은 넘었지만 하락세를 이어갔다 .	O O O O O O O O
최근 전셋값도 약세를 보이는 가운데 서울 아파트 전세수급지수는 94.0으로 전주 대비 0.3p 내렸다 .	O O O O O O O O O O O O O O
부동산원이 발표한 이번주 전국 주간 아파트 전셋값은 0.03% 하락해 전주(-0.02%) 대비 낙폭이 확대됐다 .	O O O O O O O O O O O O O O
서울(-0.02%)을 비롯한 수도권(-0.04%)은 전주와 동일한 하락률을 기록했으나 지방(-0.01%→-0.02%)은 낙폭이 커졌다 .	O O O O O O O O O O O
전문가들은 한국은행이 지난 13일 예상대로 빅 스텝을 단행하고, 앞으로도 금리 인상 기조를 이어가겠다고 예고함에 따라 당분간 매수심리 위축이 이어질 것으로 전망했다 .	O O O DATE-B O O O EVENT-B DATE-B O O O EVENT-B EVENT-B O O O O EVENT-B O EVENT-B O
