"택시 너무 안 잡혀요. 근처 호텔이나 찜질방 알아보는 게 낫겠어요."	O O O EVENT-B O O O EVENT-B O EVENT-B
지난 14일 새벽 1시께 강남역 인근. 택시 호출 애플리케이션 두어개를 켠 채 40분째 택시를 잡고 있다는 20대 직장인은 결국 숙박 예약 애플리케이션을 켰다 .	O TIME-B TIME-I TIME-I O O O O O O EVENT-B O DURATION-B O EVENT-B EVENT-B O O O O O O EVENT-B O
코로나19 장기화에 급격히 줄어든 택시기사 수요가 좀처럼 회복되지 못하고 있다. 택시기사가 줄면 운행 택시 수도 부족할 수밖에 없다 .	O O O O O O O O O O O O O O O O O O O
15일 업계에 따르면 정부 대책에도 불구하고 여전히 택시 대란이 이어지고 있다. 특히 글로벌 유가가 치솟고 있고 코로나19 상황 동안 배달이나 택배업 등 유사업종으로 택시기사가 다수 이동하면서 법인택시는 택시기사를 구하지 못해 회사 주차장에 택시를 마냥 세워두고 있는 실정이다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
결국 코로나19 기간 동안 적자를 이어온 부산 법인택시 회사인 금륜산업은 이달 들어 휴업에 들어갔고, 웅상택시는 오는 9월 폐업을 앞두고 있다. 웅상택시는 폐업을 앞두고 택시기사 등을 상대로 해고 절차에 들어간 상황이다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
전국택시운송사업조합연합회에 따르면 10만명 수준이던 법인택시 기사 수는 지난 5월 기준 7만명 수준으로 줄었다. 기사가 없자 법인택시 수도 줄어 같은 기간 등록 법인택시 수 역시 16% 이상 감소했다. 개인택시도 줄었다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
택시기사가 줄면서 심야택시도 감소했다. 택시기사들이 야간 운행을 꺼리기 때문이다. 서울 기준 밤에 운행을 하는 개인택시 수는 전체의 4분의 1 수준에 그친다 .	O O O O O O O O O O O O O O O O O O O O O O
상황이 이렇다보니 택시 호출 앱은 피크 시간대 요금을 올리거나 건당 수천원의 인센티브를 지급하면서 '택시기사 모시기'에 혈안이다 .	O O O O O O O O O O O O O O O O O
우티는 다음달 말까지 택시 수요가 많은 피크 시간대 자사 앱을 이용하는 택시기사에게 건당 최대 6000원의 인센티브를 지급하기로 했다. 우티 가맹 택시는 건당 6000원, 우티 앱을 사용하는 일반택시엔 건당 3000원을 지급한다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
프로모션이 적용되는 피크 시간대는 평일 오전 7~10시, 오후 10~오전 3시, 주말 오후 12~6시, 오후 10~오전 3시다. 가까운 거리를 가는 '기본료 승객'이어도 콜을 잡으면 택시비 외 추가로 건당 프로모션 금액을 받을 수 있는 만큼 택시기사가 단거리 운행 부담 없이 피크 시간대 콜을 더 많이 잡게 된다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
탄력요금제도 나왔다. 카카오모빌리티, 타다, 아이엠택시 등은 운행 시간대에 따라 대형·고급택시가 최대 4배까지 요금을 높게 받는 탄력요금제를 시행하고 있다. 일반 택시를 잡기 어려운 소비자들이 대형택시로 향하면서 대형·고급택시 기사로서는 수익이 높아졌다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
택시 호출 앱들은 이 같은 정책을 중형택시로 확대하기 위해 국토교통부와 논의 중이다 .	O O O O O O O O O O O O O
