"기존에 코로나19 백신 맞았던 병원에 전화하니까 더 이상 코로나 백신 접종을 안 한대요. 잔여백신 찾으라는데 오랜만에 하려니 뭐가 뭔지 잘 모르겠어요."	O O O EVENT-B O EVENT-B O O O O O O EVENT-B O EVENT-B O EVENT-B O O O EVENT-B
일주일 전보다 코로나19 신규 확진자가 매일 두 배씩 늘어나는 '더블링' 현상이 지속되고, 하루 신규 확진자 수가 지난 13일 4만명을 넘기면서 한동안 관심에서 멀어졌던 코로나19 백신 접종을 고려하는 사람들이 늘고 있다 .	DATE-B DATE-I O O O SET-B O O EVENT-B O O EVENT-B DURATION-B O O O O DATE-B O EVENT-B O O EVENT-B O O O EVENT-B O EVENT-B EVENT-B O
60대 자영업자 A씨는 "최근 주변에서 코로나19에 확진된 사람이 2명이나 늘었다"며 "4차 접종을 미루고 있었는데 주변에서 다들 맞으라고 한다. 오늘 부랴부랴 찾아보니 동네에 잔여백신이 없다"고 말했다 .	O O O DATE-B O O EVENT-B O O EVENT-B O O EVENT-B EVENT-B O O EVENT-B O DATE-B O EVENT-B O O O EVENT-B O
동네에 따라 코로나19 백신 접종을 종료한 병원도 있다. 서울 강남구 소재 A내과는 "최근에 코로나 관련 진료를 뺐는데 (확진자 증가) 추이를 지켜보고 있다"고 설명했다 .	O O O O O O O O O O O O O O O O O O O O O O O O
정부는 코로나19 확진자 증가세에 기저질환자와 고령인구에 대한 4차 접종을 적극 권고한다는 입장이다. 전일 4차 접종 대상자를 기존보다 늘려 모든 50대와 18세 이상 기저질환자 등으로 확대했다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O
대상자가 아니면 현재 국내에서 코로나19 백신 접종은 불가능하다. 일부는 사무실 복귀 등으로 3040세대의 사회활동이 늘어나는 만큼 백신 접종을 바라기도 한다 .	O O O O O O O O O O O O O O O O O O O O O
30대 직장인 A씨는 "옆 부서에 코로나19 확진자가 나와 4차 접종을 해야 하나 고민했는데 잔여백신 예약이 아예 안 되는 걸 보고 지금 맞을 수 없단 걸 알았다"며 "집에 아이도 있어 걱정인데 대상자가 아니더라도 백신을 맞을 수 있게 선택권을 줬으면 하는 바람"이라고 말했다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
정부는 이번에 4차 접종 대상으로 50대를 포함한 이유가 해당 연령대의 높은 기저질환율 때문인 만큼 40대는 상대적으로 필요성이 낮다고 판단해 현재로서는 40대의 4차 접종은 검토하고 있지 않다. 다만 의사 소견이 있는 경우 4차 접종이 가능하다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
기존 권고 대상은 60대였지만, 정부는 최근 백신 효과와 자연면역이 감소하고 신종 코로나19 변이 바이러스가 등장하는 상황에서 고위험군 범위를 50대로 확대해 선제적인 대응에 나선다는 입장이다. 미국과 호주 역시 50대에 대한 4차 접종을 권고하고 있다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
이번 결정으로 다음주인 이달 18일부터 1963~1972년 출생자와 기저질환이 있는 18세 이상 성인, 장애인·노숙인 시설 등 감염취약 시설의 입원·입소자는 잔여 백신을 통한 당일 4차 접종이 가능하다. 사전 예약도 같은 날 시작해 다음달 1일부터 예약 접종이 된다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
3차 접종 후 최소 4개월(120일)이 경과한 시점부터 백신을 접종할 수 있지만, 국외출국이나 입원 치료 등의 사유가 있다면 3차 접종 완료 90일 이후부터 당일 접종으로 맞을 수 있다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
현재 4차 접종에서 사용할 수 있는 백신은 화이자, 모더나, 노바백스 백신이다. 백신 용량은 3차 접종 용량과 동일하다 .	O O O O O O O O O O O O O O O O O O
