미국 민주당과 공화당간의 공방으로 미국 의회에서 반도체 산업 육성법안 처리가 표류하는 가운데 민주당이 핵심 지원 내용만 담은 축소된 법안 처리에 나서기로 했다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O															
의회가 휴회에 들어가는 8월 이전에 처리하지 않을 경우 11월 중간선거 선거전과 맞물리면서 연내 처리가 어려워질 수 있는 만큼 공화당도 찬성할 가능성이 있는 지원 내용만 별도로 법안을 만들어서 우선 표결에 부치겠다는 것이다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O														
민주당 척 슈머 상원 원내대표는 14일(현지시간) 반도체 산업 육성법안과 관련, "미국 내에 반도체 공장을 짓는 회사에 세금 공제나 재정적 인센티브를 주는 내용만을 담은 축소된 법안에 대한 첫 투표가 이르면 15일 있을 수 있다"고 말했다고 AP통신 등이 보도했다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O													
앞서 미국 상원은 지난해 6월 미국혁신경쟁법안, 하원은 올해 2월에 미국경쟁법안을 처리했으며 두 법안 모두 반도체 산업에 520억 달러(65조 원)를 지원하는 내용을 골자로 하고 있다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O												
그러나 법안의 구체적인 내용이 다소 상이해 그동안 미국 의회는 이를 하나의 법안으로 만들기 위한 병합 심사를 진행해왔으나 세부 내용과 처리 시점 등에 대한 입장차로 진전을 보지 못했다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O											
이처럼 법안 처리가 지연되자 법안 중 520억 달러 지원 부분만 따로 떼어내서 입법하는 방안을 먼저 추진하겠다는 것이 척 슈머 원내대표 발언의 의미다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O										
특히 축소된 법안 처리에는 공화당 지도부도 찬성 입장을 밝혀왔기 때문에 법안 처리 가능성이 이전보다 높아졌다고 CNN 방송은 전망했다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O									
민주당의 축소 법안 처리 방침에는 백악관의 태도 변화도 반영된 것으로 분석된다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O								
애초 바이든 정부는 일부 지원내용만 먼저 처리하는 것에 대해 부정적인 입장을 보인 것으로 알려졌으나 법안이 장기 표류하는 것을 차단하기 위해 일부 법안이라도 먼저 처리하는 방향으로 선회한 것으로 보인다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O							
지나 러몬도 상무부 장관은 이날 일부 하원의원들과 비공개 회동 뒤 기자들과 만나 일부 지원 법안만 먼저 처리하는 것에 대한 입장을 묻는 말에 "우리는 가능한 포괄적인 법안을 원하지만 그것이 하원과 상원 의원들이 가능하다고 느끼는 것이라면 그것이라도 해야 한다"고 말했다고 로이터 통신이 보도했다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O						
그는 또 "미국 반도체 산업을 진흥하고 중국에 대한 경쟁력을 강화하기 위해 의회는 다음주에는 행동해야 한다"고 말했다.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O					
